dish,mood,dayStatus,craving,diet,cuisines
Kadhai Keema Garlic Bread,Tired,Normal,Sweet,Veg,North Indian
Southern Fiery Keema Garlic Bread,Sad,Hectic,Light,Veg,North Indian
Indi Garlic Bread Combo,Stressed,Lazy,Spicy,Veg,North Indian
Indi Keema Garlic Bread Combo,Stressed,Hectic,Light,Veg,North Indian
Schezwan Margherita,Tired,Productive,Sweet,Veg,Chinese
Mexican Fiesta,Stressed,Normal,Spicy,Veg,North Indian
Bold BBQ Veggies,Sad,Hectic,Heavy,Non-Veg,North Indian
Ultimate Tandoori Veggie,Happy,Lazy,Heavy,Non-Veg,North Indian
Mazedar Makhni Paneer,Tired,Hectic,Spicy,Veg,North Indian
Margherita,Tired,Productive,Spicy,Veg,North Indian
Corn & Cheese,Tired,Lazy,Heavy,Veg,North Indian
Veggie Feast,Tired,Productive,Spicy,Non-Veg,North Indian
Spiced Paneer,Stressed,Lazy,Sweet,Veg,North Indian
Tandoori Paneer,Tired,Hectic,Sweet,Veg,North Indian
Country Feast,Happy,Lazy,Heavy,Veg,North Indian
Veggie Supreme,Happy,Lazy,Light,Non-Veg,North Indian
Margherita Pizza,Stressed,Productive,Heavy,Veg,Fast Food
Veggie Supreme,Sad,Normal,Light,Non-Veg,North Indian
Veggie Supreme,Stressed,Lazy,Spicy,Non-Veg,North Indian
Sausage & Sweet Corn.,Sad,Lazy,Spicy,Veg,North Indian
Dhabe Da Keema,Tired,Lazy,Sweet,Veg,North Indian
Sizzling Schezwan Chicken,Stressed,Normal,Sweet,Non-Veg,Chinese
Nawabi Murg Makhni,Happy,Hectic,Spicy,Veg,North Indian
Chicken Sausage,Happy,Productive,Spicy,Non-Veg,North Indian
Murg Malai Chicken,Stressed,Lazy,Sweet,Non-Veg,North Indian
Chicken Tikka,Sad,Normal,Heavy,Non-Veg,North Indian
Chicken Pepperoni,Tired,Productive,Sweet,Non-Veg,North Indian
Chicken Supreme,Happy,Hectic,Spicy,Non-Veg,North Indian
Chicken Tikka Supreme,Tired,Productive,Light,Non-Veg,North Indian
Triple Chicken Feast,Happy,Hectic,Heavy,Non-Veg,North Indian
Chicken Pepperoni,Happy,Lazy,Spicy,Non-Veg,North Indian
Create Your Flavour Fun Combo - Box Of 4 - Veg,Happy,Normal,Spicy,Veg,North Indian
Create Your Flavour Fun Combo - Box Of 4 - Non Veg,Sad,Lazy,Spicy,Veg,North Indian
Create Your Flavour Fun Combo - Box Of 2 - Veg Pizza,Tired,Lazy,Sweet,Veg,Fast Food
Create Your Flavour Fun Combo - Box Of 2 - Non Veg Pizza,Happy,Lazy,Sweet,Veg,Fast Food
Classic Corn,Happy,Lazy,Light,Veg,North Indian
Classic Onion Capsicum,Happy,Lazy,Heavy,Veg,North Indian
Chatpata Tomato Onion & Chilli,Stressed,Hectic,Spicy,Veg,North Indian
"Spicy Sweet Corn, Onion, Green Chilli",Happy,Hectic,Spicy,Veg,North Indian
Cheesy Spicy Delight,Sad,Productive,Spicy,Veg,North Indian
Chilli Paneer Sizzle,Happy,Hectic,Light,Veg,North Indian
Classic Chicken Pepperoni & Onion,Stressed,Productive,Light,Non-Veg,North Indian
Classic Herbed Chicken & Capsicum,Tired,Lazy,Light,Non-Veg,North Indian
Chatpata Chicken Feast,Stressed,Normal,Heavy,Non-Veg,North Indian
Hut Treat Meal for 2 - Veg,Sad,Lazy,Sweet,Veg,North Indian
Hut Treat Meal for 2 - Non Veg,Happy,Normal,Spicy,Veg,North Indian
Hut Treat Meal for 4 - Veg,Stressed,Hectic,Spicy,Veg,North Indian
Hut Treat Meal for 4 - Non Veg,Happy,Hectic,Heavy,Veg,North Indian
Bold BBQ Veggie Thin n Crispy,Stressed,Hectic,Heavy,Non-Veg,North Indian
Tandoori Paneer Thin n Crispy,Happy,Hectic,Heavy,Veg,North Indian
Mexican Fiesta Thin n Crispy,Tired,Productive,Spicy,Veg,North Indian
Dhabe Da Keema Thin n Crispy,Tired,Hectic,Light,Veg,North Indian
Chicken Pepperoni Thin n Crispy,Happy,Lazy,Sweet,Non-Veg,North Indian
Chicken Supreme Thin n Crispy,Happy,Hectic,Sweet,Non-Veg,North Indian
Spicy Schezwan Pasta Chicken,Happy,Normal,Heavy,Non-Veg,Chinese
Cosy Comfort White Sauce Chicken Pasta,Tired,Hectic,Spicy,Non-Veg,North Indian
Cosy Comfort White Sauce Pasta,Sad,Lazy,Heavy,Veg,North Indian
Classic Mushroom Pasta,Tired,Productive,Sweet,Veg,North Indian
Tomato Twist Red Sauce Pasta,Stressed,Lazy,Spicy,Veg,North Indian
Spicy Red Schezwan Pasta,Stressed,Lazy,Sweet,Veg,Chinese
Tandoori Murg Pasta,Happy,Hectic,Heavy,Veg,North Indian
Tandoori Paneer Pasta,Tired,Normal,Sweet,Veg,North Indian
Penne McN Cheese & Chicken Pasta,Sad,Hectic,Spicy,Non-Veg,North Indian
Penne McN Cheese Pasta,Sad,Normal,Heavy,Veg,North Indian
Super Value Deal : 2 Medium Veg Pizzas starting at Rs 649 (Save Upto 41%).,Tired,Lazy,Light,Veg,Fast Food
Super Value Deal : 2 Medium Non-Veg Pizzas starting at Rs 749 (Save Upto 39%).,Stressed,Productive,Light,Veg,Fast Food
Cheese Garlic Bread,Tired,Normal,Heavy,Veg,North Indian
Exotica Veggie Garlic Bread,Stressed,Productive,Sweet,Non-Veg,North Indian
Classic Bread Stix,Stressed,Lazy,Spicy,Veg,North Indian
Loaded Bread Stix,Happy,Lazy,Light,Veg,North Indian
Garlic Bread Spicy Supreme,Sad,Lazy,Light,Veg,North Indian
Masala Keema Garlic Bread,Tired,Lazy,Spicy,Veg,North Indian
Create your Melts Box of 2 - Veg,Sad,Productive,Spicy,Veg,North Indian
Cheezy Cheese Veg & Loaded BBQ Veg Combo,Sad,Normal,Light,Veg,North Indian
Create your Melts Box of 2 Non-Veg,Tired,Lazy,Spicy,Veg,North Indian
Cheezy Cheese Chicken & Loaded BBQ Non-Veg Combo,Happy,Hectic,Sweet,Non-Veg,North Indian
Melts Meal for 1 with Exotica Veggie Garlic Bread 2Pcs & 1 Dip-Veg,Sad,Normal,Heavy,Non-Veg,North Indian
Melts 3 Course Meal for 1 - Veg,Sad,Normal,Sweet,Veg,North Indian
Melts Meal for 1 with Exotica Veggie Garlic Bread 2Pcs & 1 Dip-Non Veg,Tired,Normal,Heavy,Non-Veg,North Indian
Melts 3 Course Meal for 1 Non-Veg,Stressed,Lazy,Sweet,Veg,North Indian
Cheezy Sprinkled Fries,Sad,Normal,Light,Veg,Fast Food
BBQ Baked Chicken Wings 6pc,Happy,Productive,Heavy,Non-Veg,North Indian
BBQ Baked Chicken Wings 4pc,Tired,Productive,Spicy,Non-Veg,North Indian
Sprinkled Fries - New,Tired,Lazy,Heavy,Veg,Fast Food
Spicy Baked Chicken Wings 4pc,Sad,Normal,Light,Non-Veg,North Indian
Spicy Baked Chicken Wings 6pc,Tired,Productive,Heavy,Non-Veg,North Indian
Jalapeno Pepper Dip,Sad,Productive,Spicy,Veg,North Indian
Veg Mayonnaise Dip,Happy,Normal,Spicy,Veg,North Indian
Tomato Ketchup,Stressed,Normal,Sweet,Veg,North Indian
Momo Dip,Happy,Productive,Spicy,Veg,North Indian
Mirinda 475ml,Stressed,Hectic,Light,Veg,North Indian
7UP,Stressed,Productive,Heavy,Veg,North Indian
Pepsi Zero Sugar 300ml,Happy,Hectic,Light,Veg,North Indian
Brow-wow-nie,Tired,Lazy,Spicy,Veg,North Indian
Choco Volcano,Tired,Hectic,Light,Veg,North Indian
Combo for 1 Veg,Tired,Lazy,Light,Veg,North Indian
Hunan Paneer Dry - Mini,Happy,Hectic,Heavy,Veg,North Indian
Hunan Paneer Dry - Full,Happy,Hectic,Light,Veg,North Indian
Schezwan Paneer Dry - Mini,Happy,Lazy,Light,Veg,North Indian
Schezwan Paneer Dry - Full,Tired,Productive,Spicy,Veg,North Indian
Hunan Paneer Bowl,Tired,Normal,Sweet,Veg,North Indian
Veg Chinese Fried Rice - Half (500 ml).,Stressed,Hectic,Heavy,Veg,North Indian
Veg Chinese Hakka Noodles - Half (500 ml).,Happy,Hectic,Heavy,Veg,Chinese
Veg Chilli Garlic Noodles - Half (500 ml).,Sad,Lazy,Sweet,Veg,Chinese
Veg Schezwan Noodles - Half (500 ml).,Happy,Lazy,Spicy,Veg,Chinese
Black forest Mousse Cake,Happy,Hectic,Spicy,Veg,Dessert
Salted Caramel Choco Mousse,Happy,Hectic,Light,Veg,North Indian
Combo for 1 Veg,Happy,Hectic,Sweet,Veg,North Indian
Desi Chilli Potato - Mini,Tired,Hectic,Spicy,Veg,North Indian
Desi Chilli Potato - Full,Sad,Lazy,Light,Veg,North Indian
Hunan Paneer Dry - Mini,Stressed,Productive,Spicy,Veg,North Indian
Hunan Paneer Dry - Full,Stressed,Productive,Light,Veg,North Indian
Black Pepper Paneer Dry - Mini,Stressed,Lazy,Light,Veg,North Indian
Black Pepper Paneer Dry - Full,Sad,Productive,Light,Veg,North Indian
Kung Pao Paneer Dry - Mini,Tired,Hectic,Sweet,Veg,North Indian
Kung Pao Paneer Dry - Full,Stressed,Lazy,Sweet,Veg,North Indian
Schezwan Paneer Dry - Mini,Tired,Hectic,Heavy,Veg,North Indian
Schezwan Paneer Dry - Full,Sad,Productive,Light,Veg,North Indian
Paneer Chilli Dry - Mini,Stressed,Normal,Sweet,Veg,North Indian
Paneer Chilli Dry - Full,Sad,Normal,Light,Veg,North Indian
Paneer Manchurian Dry - Mini,Happy,Normal,Heavy,Veg,North Indian
Paneer Manchurian Dry - Full,Happy,Lazy,Light,Veg,North Indian
Veg Manchurian Dry - Mini,Sad,Normal,Light,Veg,Chinese
Veg Manchurian Dry - Full,Stressed,Hectic,Sweet,Veg,Chinese
Manchurian Ball In Choice Of Sauce - Full,Tired,Lazy,Light,Veg,Chinese
Veg Spring Roll 6 Pcs - Mini,Sad,Normal,Light,Veg,North Indian
Sweet Chilli Potato - Mini,Happy,Hectic,Sweet,Veg,North Indian
Sweet Chilli Potato - Full,Tired,Hectic,Heavy,Veg,North Indian
Manchurian Potato - Mini,Tired,Productive,Light,Veg,Chinese
Manchurian Potato - Full,Happy,Normal,Sweet,Veg,Chinese
Veg Manchow Soup with Crispy Noodles,Stressed,Lazy,Heavy,Veg,Chinese
Veg Schezwan Noodle Soup,Stressed,Hectic,Sweet,Veg,Chinese
Veg Kurkure Fried Momo with Momo Chutney,Tired,Lazy,Spicy,Veg,North Indian
Veg Chinese Fried Rice - Half (500 ml),Happy,Lazy,Light,Veg,North Indian
Veg Burnt Garlic Fried Rice - Half (500 ml),Happy,Productive,Heavy,Veg,North Indian
Veg Chilli Garlic Fried Rice - Half (500 ml),Tired,Lazy,Sweet,Veg,North Indian
Veg Chinese Schezwan Fried Rice - Half (500 ml),Tired,Hectic,Sweet,Veg,Chinese
Chowmein Veg - Half (500 ml),Stressed,Lazy,Sweet,Veg,North Indian
Veg Chinese Hakka Noodles - Half (500 ml),Happy,Lazy,Sweet,Veg,Chinese
Veg Burnt Garlic Noodles - Half (500 ml),Tired,Lazy,Heavy,Veg,Chinese
Veg Chilli Garlic Noodles - Half (500 ml),Sad,Hectic,Spicy,Veg,Chinese
Veg Schezwan Noodles - Half (500 ml),Tired,Hectic,Light,Veg,Chinese
Veg Fried Rice - Full (1000 ml),Sad,Lazy,Sweet,Veg,North Indian
Veg Burnt Garlic Fried Rice - Full (1000 ml),Sad,Hectic,Light,Veg,North Indian
Veg Chilli Garlic Fried Rice - Full (1000 ml),Tired,Hectic,Light,Veg,North Indian
Veg Schezwan Fried Rice - Full (1000 ml),Tired,Lazy,Spicy,Veg,Chinese
Veg Triple Schezwan Rice,Tired,Normal,Heavy,Veg,Chinese
Chowmein Veg  - Full (1000 Ml),Happy,Hectic,Sweet,Veg,North Indian
Veg Hakka Noodles - Full (1000 ml),Happy,Hectic,Sweet,Veg,Chinese
Veg Burnt Garlic Noodles - Full (1000 ml),Happy,Hectic,Light,Veg,Chinese
Veg Chilli Garlic Noodles - Full (1000 ml),Sad,Normal,Sweet,Veg,Chinese
Veg Schezwan Noodles - Full (1000 ml),Stressed,Normal,Heavy,Veg,Chinese
Veg Manchurian Bowl,Happy,Hectic,Light,Veg,Chinese
Hunan Paneer Bowl,Stressed,Normal,Spicy,Veg,North Indian
Veg Manchurian Bowl with Hakka Noodle,Tired,Hectic,Sweet,Veg,Chinese
Manchurian Paneer Bowl,Stressed,Normal,Sweet,Veg,North Indian
Kung Pao Paneer Bowl,Sad,Hectic,Spicy,Veg,North Indian
Schezwan Paneer Bowl,Stressed,Normal,Sweet,Veg,North Indian
Hunan Paneer Bowl.,Happy,Lazy,Spicy,Veg,North Indian
Manchurian Paneer Bowl.,Tired,Productive,Heavy,Veg,North Indian
Black Pepper Paneer Bowl.,Tired,Normal,Sweet,Veg,North Indian
Schezwan Paneer Bowl.,Happy,Normal,Spicy,Veg,North Indian
Kung Pao Paneer Bowl.,Sad,Hectic,Spicy,Veg,North Indian
Veg Manchurian Bowl.,Sad,Productive,Light,Veg,Chinese
Chilli Paneer Bowl.,Happy,Productive,Light,Veg,North Indian
Chowmein Veg  - Half (500 ml).,Tired,Hectic,Light,Veg,North Indian
Veg Chinese Fried Rice - Half (500 ml).,Stressed,Hectic,Sweet,Veg,North Indian
Veg Burnt Garlic Fried Rice - Half (500 ml).,Sad,Productive,Heavy,Veg,North Indian
Veg Chilli Garlic Fried Rice - Half (500 ml).,Sad,Normal,Heavy,Veg,North Indian
Veg Chinese Schezwan Fried Rice - Half (500 ml).,Tired,Productive,Spicy,Veg,Chinese
Veg Chinese Hakka Noodles - Half (500 ml).,Stressed,Lazy,Spicy,Veg,Chinese
Veg Burnt Garlic Noodles - Half (500 ml).,Stressed,Normal,Spicy,Veg,Chinese
Veg Chilli Garlic Noodles - Half (500 ml).,Sad,Hectic,Spicy,Veg,Chinese
Veg Schezwan Noodles - Half (500 ml).,Sad,Hectic,Sweet,Veg,Chinese
Veg Personal Wok Bowl,Stressed,Normal,Heavy,Veg,North Indian
Veg Medium Wok Bowl,Tired,Normal,Heavy,Veg,North Indian
Hunan Paneer Gravy - Half,Stressed,Normal,Heavy,Veg,North Indian
Black Pepper Paneer Gravy - Half,Stressed,Normal,Spicy,Veg,North Indian
Veg Manchurian Gravy - Half,Sad,Lazy,Heavy,Veg,Chinese
Kung Pao Paneer Gravy - Half,Sad,Lazy,Heavy,Veg,North Indian
Schezwan Paneer Gravy - Half,Happy,Lazy,Light,Veg,North Indian
Manchurian Paneer Gravy - Half,Sad,Hectic,Sweet,Veg,North Indian
Chilli Paneer Gravy - Half,Tired,Lazy,Spicy,Veg,North Indian
Hunan Paneer Gravy - Full,Stressed,Lazy,Heavy,Veg,North Indian
Black Pepper Paneer Gravy - Full,Stressed,Productive,Sweet,Veg,North Indian
Manchurian Veg - Full,Happy,Hectic,Light,Veg,Chinese
Kung Pao Paneer - Full,Tired,Hectic,Sweet,Veg,North Indian
Schezwan Paneer - Full,Sad,Lazy,Light,Veg,North Indian
Manchurian Paneer - Full,Tired,Hectic,Light,Veg,North Indian
Chilli Paneer - Full,Happy,Normal,Spicy,Veg,North Indian
Veg Manchurian Pot Rice,Tired,Lazy,Spicy,Veg,Chinese
Veg Fried Rice - Light Eaters,Tired,Normal,Spicy,Veg,North Indian
Veg Hakka Noodles - Light Eaters,Tired,Lazy,Light,Veg,Chinese
Veg Desi Chilli Value Wok,Sad,Productive,Sweet,Veg,North Indian
Chocolate Mousse - Small,Sad,Lazy,Spicy,Veg,North Indian
Black forest Mousse Cake,Sad,Lazy,Sweet,Veg,Dessert
Salted Caramel Choco Mousse,Tired,Lazy,Spicy,Veg,North Indian
Choco Lava,Stressed,Lazy,Light,Veg,North Indian
Pepsi Pet Bottle,Sad,Hectic,Sweet,Veg,North Indian
7 Up,Sad,Hectic,Spicy,Veg,North Indian
Coolberg Peach,Tired,Hectic,Sweet,Veg,North Indian
Coolberg Cranberry,Tired,Hectic,Sweet,Veg,North Indian
Peach Ice Tea,Stressed,Lazy,Light,Veg,North Indian
Aam Panna,Sad,Normal,Sweet,Veg,North Indian
Masala Shikanji,Stressed,Lazy,Spicy,Veg,North Indian
Lemon Ice Tea,Tired,Lazy,Spicy,Veg,North Indian
Water,Tired,Hectic,Light,Veg,North Indian
Crispy Noodles,Happy,Productive,Sweet,Veg,Chinese
Extra Schezwan Dip,Happy,Productive,Light,Veg,Chinese
Extra Mayo Dip,Sad,Lazy,Heavy,Veg,North Indian
Extra Sweet Chilli Dip,Sad,Productive,Light,Veg,North Indian
Extra Momo Chutney,Tired,Normal,Light,Veg,North Indian
Crispy Veg Burger,Happy,Normal,Heavy,Veg,Fast Food
Crispy Chicken Burger,Sad,Lazy,Heavy,Non-Veg,Fast Food
Crispy Veg Double Patty Burger,Happy,Productive,Spicy,Veg,Fast Food
Crispy Chicken Double Patty Burger,Tired,Normal,Heavy,Non-Veg,Fast Food
Original Whopper Veg,Sad,Productive,Light,Veg,North Indian
Original Whopper Chicken,Tired,Hectic,Sweet,Non-Veg,North Indian
King Fries,Sad,Lazy,Sweet,Veg,Fast Food
Medium Fries,Happy,Normal,Light,Veg,Fast Food
King Peri Peri Fries,Sad,Normal,Light,Veg,Fast Food
Chocolate Thick Shake,Stressed,Normal,Spicy,Veg,North Indian
Crispy Veg Double Patty Burger+Fries(M),Stressed,Productive,Sweet,Veg,Fast Food
Classic Family Feast for 4 - Veg,Happy,Normal,Light,Veg,North Indian
4 Crispy Veg + 2 Medium Fries,Happy,Productive,Heavy,Veg,Fast Food
Crispy Veg Double Patty + Crispy Veg Double Patty,Sad,Lazy,Sweet,Veg,North Indian
Veg Makhani Burst + Whopper Jr Veg,Sad,Normal,Heavy,Veg,North Indian
Korean Spicy Paneer Burger,Tired,Productive,Heavy,Veg,North Indian
Korean Spicy Paneer Burger.,Happy,Normal,Heavy,Veg,North Indian
Korean Spicy Chicken Burger.,Stressed,Hectic,Light,Non-Veg,Fast Food
Korean Spicy Chicken Burger,Happy,Hectic,Sweet,Non-Veg,Fast Food
Korean Spicy Fries,Happy,Lazy,Light,Veg,Fast Food
Korean Spicy Fries.,Happy,Lazy,Spicy,Veg,Fast Food
2Crispy Veg Double Patty Burger+Korean Spicy Fries.,Happy,Normal,Spicy,Veg,Fast Food
Korean Spicy Chicken (4 Pc),Stressed,Productive,Light,Non-Veg,North Indian
Korean Spicy Chicken (4pc) + Crispy Chicken Burger.,Sad,Productive,Heavy,Non-Veg,Fast Food
Korean Spicy Chicken (7 Pc),Stressed,Productive,Spicy,Non-Veg,North Indian
2Crispy Veg Burger+Korean Spicy Fries+2Coke.,Sad,Lazy,Spicy,Veg,Fast Food
2Crispy Chicken Burger+Korean Spicy Chicken(4pc)+2Coke.,Tired,Productive,Sweet,Non-Veg,Fast Food
2Whopper Jr Chicken+Korean Spicy Chicken(7pc).,Happy,Lazy,Light,Non-Veg,North Indian
2Whopper Jr Veg+2Korean Spicy Fries.,Tired,Normal,Heavy,Veg,Fast Food
Korean Spicy Paneer Burger Meal.,Happy,Productive,Light,Veg,North Indian
Korean Spicy Chicken Burger Meal.,Stressed,Lazy,Light,Non-Veg,Fast Food
Korean Spicy Paneer+Korean Spicy Fries(M).,Sad,Productive,Light,Veg,North Indian
Korean Spicy Chicken+Korean Spicy Fries(M).,Sad,Normal,Light,Non-Veg,Fast Food
Crispy Veg Burger,Happy,Normal,Heavy,Veg,Fast Food
Crispy Chicken Burger,Stressed,Hectic,Heavy,Non-Veg,Fast Food
Veg Makhani Burst Burger,Tired,Normal,Spicy,Veg,Fast Food
Chicken Makhani Burst Burger,Happy,Hectic,Spicy,Non-Veg,Fast Food
Crispy Veg Double Patty Burger,Sad,Lazy,Sweet,Veg,Fast Food
Crispy Chicken Double Patty Burger,Sad,Hectic,Light,Non-Veg,Fast Food
Veg Crunchy Taco,Happy,Hectic,Spicy,Veg,North Indian
Crunchy Chicken Taco,Tired,Hectic,Spicy,Non-Veg,North Indian
Crispy Chicken Triple Cheese Burger.,Happy,Lazy,Heavy,Non-Veg,Fast Food
BK Veggie Burger,Happy,Productive,Sweet,Non-Veg,Fast Food
BK Chicken Burger,Tired,Productive,Heavy,Non-Veg,Fast Food
BK Veggie Triple Cheese Burger.,Sad,Productive,Light,Non-Veg,Fast Food
Original Whopper Veg,Sad,Lazy,Spicy,Veg,North Indian
Original Whopper Chicken,Sad,Lazy,Heavy,Non-Veg,North Indian
Original Whopper Chicken.,Stressed,Lazy,Light,Non-Veg,North Indian
Whopper Jr Veg,Sad,Lazy,Sweet,Veg,North Indian
Chicken Whopper Jr Double Patty.,Happy,Lazy,Heavy,Non-Veg,North Indian
Whopper Jr Veg Stacker.,Happy,Normal,Sweet,Veg,North Indian
Whopper Jr Chicken with Cheese Slice.,Sad,Normal,Spicy,Non-Veg,North Indian
Whopper Jr Veg with Cheese Slice.,Stressed,Productive,Sweet,Veg,North Indian
Whopper Jr Chicken,Sad,Normal,Sweet,Non-Veg,North Indian
Jr Whopper Stacker – Chicken,Happy,Hectic,Spicy,Non-Veg,North Indian
Original Whopper Veg Stacker,Stressed,Lazy,Sweet,Veg,North Indian
Original Whopper Chicken Stacker,Tired,Normal,Light,Non-Veg,North Indian
"Paneer Royale Wrap,",Happy,Hectic,Spicy,Veg,North Indian
Paneer Royale Wrap,Tired,Normal,Spicy,Veg,North Indian
"Korean Spicy Paneer Burger,",Happy,Hectic,Light,Veg,North Indian
Korean Spicy Paneer Burger!,Tired,Normal,Light,Veg,North Indian
"Korean Spicy Chicken Burger,",Tired,Lazy,Heavy,Non-Veg,Fast Food
Korean Spicy Chicken Burger!,Sad,Normal,Light,Non-Veg,Fast Food
Medium Peri Peri Fries,Happy,Productive,Sweet,Veg,Fast Food
King Fries,Tired,Productive,Light,Veg,Fast Food
Saucy Fries,Sad,Productive,Light,Veg,Fast Food
2 Med Fries.,Stressed,Productive,Heavy,Veg,Fast Food
"2 King Fries,",Happy,Normal,Light,Veg,Fast Food
Medium Fries,Stressed,Normal,Sweet,Veg,Fast Food
King Peri Peri Fries,Tired,Hectic,Heavy,Veg,Fast Food
Fiery Hell Dip,Tired,Productive,Sweet,Veg,North Indian
Peri Peri Spice Mix,Stressed,Hectic,Light,Veg,North Indian
"Korean Spicy Fries,",Happy,Normal,Light,Veg,Fast Food
Korean Spicy Fries!,Stressed,Lazy,Sweet,Veg,Fast Food
BK Veg Pizza Puff,Happy,Lazy,Heavy,Veg,Fast Food
Veggie Strips(5 Pcs),Tired,Productive,Spicy,Non-Veg,North Indian
Masala Hashbrown,Tired,Hectic,Spicy,Veg,North Indian
(6Pc) Crunchy Chicken Nuggets + 1 Dip.,Stressed,Lazy,Light,Non-Veg,North Indian
(6Pc) Crunchy Chicken Nuggets + 1 Dip,Stressed,Productive,Light,Non-Veg,North Indian
"(9Pc) Crunchy Chicken Nuggets + 2 Dips,",Stressed,Lazy,Light,Non-Veg,North Indian
Boneless Wings Regular,Stressed,Normal,Light,Veg,North Indian
Boneless Wings Regular.,Stressed,Productive,Heavy,Veg,North Indian
Boneless Wings Large,Sad,Lazy,Spicy,Veg,North Indian
Korean Spicy Chicken (4 Pc)!,Stressed,Hectic,Spicy,Non-Veg,North Indian
Korean Spicy Chicken (7 Pc)!,Sad,Lazy,Light,Non-Veg,North Indian
Chocolate Thick Shake,Happy,Lazy,Sweet,Veg,North Indian
Chocolate Shake.,Happy,Productive,Heavy,Veg,North Indian
Mango Thick Shake,Happy,Lazy,Spicy,Veg,North Indian
Mango Shake.,Stressed,Productive,Heavy,Veg,North Indian
Berry Blast Thick Shake,Sad,Hectic,Sweet,Veg,North Indian
Crispy Chicken Meal.,Happy,Lazy,Heavy,Non-Veg,North Indian
Crispy Veg Meal.,Happy,Hectic,Spicy,Veg,North Indian
Veg Makhani Burst Meal.,Sad,Normal,Spicy,Veg,North Indian
Crunchy Veg Taco+Veggie Strips+Coke.,Happy,Lazy,Heavy,Non-Veg,North Indian
Veg Puff Meal.,Happy,Hectic,Sweet,Veg,North Indian
"Whopper Jr Veg Meal,",Stressed,Productive,Spicy,Veg,North Indian
"BK Veggie Burger+Fries(Reg)+Coca Cola,",Tired,Hectic,Light,Non-Veg,Fast Food
"Crispy Veg Double Patty Meal,",Tired,Productive,Light,Veg,North Indian
"Chicken Makhani Burst+Fries(Reg)+Coke,",Tired,Normal,Spicy,Non-Veg,Fast Food
Crispy Veg Combo (M),Stressed,Hectic,Heavy,Veg,North Indian
Original Whopper Veg Combo (M),Happy,Lazy,Spicy,Veg,North Indian
Original Whopper Chicken Combo (M),Tired,Lazy,Light,Non-Veg,North Indian
Whopper Jr Veg Combo (M),Sad,Normal,Light,Veg,North Indian
Crispy Chicken Combo (M),Sad,Hectic,Spicy,Non-Veg,North Indian
BK Veggie Burger Combo (M),Tired,Lazy,Spicy,Non-Veg,Fast Food
Whopper Jr Chicken Combo (M),Sad,Productive,Sweet,Non-Veg,North Indian
BK Chicken Burger Combo (M),Stressed,Lazy,Spicy,Non-Veg,Fast Food
